id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
29,,Suabo,szp,suab1238,Inanwatan,-2.07971,132.157,Vries 2004,NA,"Vries, Lourens J. de. 2004. A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia. (Pacific Linguistics, 560.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
30,41,Kamula,xla,amu1260,Kamula-Elevala,-7.28798,142.639,Routamaa 1994,"22, 23","Routamaa, Judy. 1994. Kamula grammar essentials. Ms. (Available at \url{http://www.sil.org/pacific/png/abstract.asp?id=50209} accessed 1 August 2008).",partial reduplication,reduplication,NC,S/P,S/P ,repeated,---,NC
30,42,Kamula,xla,amu1260,Kamula-Elevala,-7.28798,142.639,Routamaa 1994,22-23,"Routamaa, Judy. 1994. Kamula grammar essentials. Ms. (Available at \url{http://www.sil.org/pacific/png/abstract.asp?id=50209} accessed 1 August 2008).",stem alternation,irregular stem alternation,NC,S/P,S/P ,---,---,>1
31,43,Pondi,lnm,lang1328,Keram,-4.32557,143.925,Barlow 2020,124,"Barlow, Russell. 2020. A sketch grammar of Pondi. Canberra: ANU Press. doi: 10.22459/SGP.2020.",stem alternation,irregular stem alternation,1 verb,S,S ,?,---,NC
32,44,Ulwa,yla,yaul1241,Keram,-4.39912,143.993,Barlow 2023,138-139,"Barlow, Russell. 2023. A grammar of Ulwa. Berlin: Language Science Press.",stem alternation,irregular stem alternation,1 verb,S,S ,---,---,NC
33,45,Kibiri,prm,kibi1239,Kibiri,-7.45276,144.296,Velásquez 2023,,"Velásquez, M. 2023. Verbal Number in Kibiri. Current Trends in Papuan Linguistics II Conference.",partial reduplication,reduplication,NC,S/P,S/P ,repeated,---,NC
33,46,Kibiri,prm,kibi1239,Kibiri,-7.45276,144.296,Velásquez 2023,,"Velásquez, M. 2023. Verbal Number in Kibiri. Current Trends in Papuan Linguistics II Conference.",stem alternation,irregular stem alternation,NC,S/P,S/P ?,---,---,NC
33,47,Kibiri,prm,kibi1239,Kibiri,-7.45276,144.296,Velásquez 2024,,"Velásquez, M. 2023. Verbal Number in Kibiri. Current Trends in Papuan Linguistics II Conference.",suffix -sto,affixation,NC,S/P,S/P ?,---,---,NC
34,48,Northeast Kiwai,kiw,nort2930,Kiwaian,-7.39215,144.667,Schulz & Petterson 2022,85,"Schulz, Hanna & Robert G. Petterson. 2022. Studies in Kope. (Data Papers on Papua New Guinea Languages, 64.) Papua New Guinea: SIL-PNG Academic Publications.",vowel alternation,irregular stem alternation,restricted,---,P ,---,---,NC
34,49,Northeast Kiwai,kiw,nort2930,Kiwaian,-7.39215,144.667,Schulz & Petterson 2022,124-132,"Schulz, Hanna & Robert G. Petterson. 2022. Studies in Kope. (Data Papers on Papua New Guinea Languages, 64.) Papua New Guinea: SIL-PNG Academic Publications.",prefix i-,affixation,productive,P/BEN,P/BEN,---,---,>1
34,50,Northeast Kiwai,kiw,nort2930,Kiwaian,-7.39215,144.667,Schulz & Petterson 2022,88-92,"Schulz, Hanna & Robert G. Petterson. 2022. Studies in Kope. (Data Papers on Papua New Guinea Languages, 64.) Papua New Guinea: SIL-PNG Academic Publications.",suffix -uti,affixation,NC,---,P ,---,---,NC
34,51,Northeast Kiwai,kiw,nort2930,Kiwaian,-7.39215,144.667,Schulz & Petterson 2022,88-92,"Schulz, Hanna & Robert G. Petterson. 2022. Studies in Kope. (Data Papers on Papua New Guinea Languages, 64.) Papua New Guinea: SIL-PNG Academic Publications.",suffix -tuti,affixation,NC,---,S/A/P,?,---,NC
34,52,Northeast Kiwai,kiw,nort2930,Kiwaian,-7.39215,144.667,Schulz & Petterson 2022,59-60,"Schulz, Hanna & Robert G. Petterson. 2022. Studies in Kope. (Data Papers on Papua New Guinea Languages, 64.) Papua New Guinea: SIL-PNG Academic Publications.",suffix -umo,affixation,productive,S/A,S/A,---,---,>2
35,53,Koitabu,kqi,koit1244,Koiorian,-9.36877,147.079,Dutton 1975,"324-325, 334-336","Dutton, Tom E. 1975. A Koita grammar sketch and vocabulary. In Tom E. Dutton (ed.), Studies in languages of Central and South-East Papua, 281-412. Canberra: Research School of Pacific and Asian Studies, Australian National University.","stem alternation, irregular affixation",irregular stem alternation,productive,S/P,S/P ,---,---,>1
36,,Kunimaipa,kup,kuni1267,Kunimaipan,-8.09371,146.908,Geary 1977,NA,"Geary, Elaine. 1977. Kunimaipa grammar: Morphophonemics to discourse. (Workpapers in Papua New Guinea Languages, 23.) Ukarumpa: Summer Institute of Linguistics.",NA,,,,,,,
37,54,Kuot,kto,kuot1243,Kuot,-3.06952,151.537,Lindström 2002,6-7,"Lindström, Eva. 2002. Topics in the Grammar of Kuot. Stockholm University dissertation.",prefix da-,affixation,restricted,---,---,---,frequentative,NC
38,55,Kwomtari,kwo,nucl1593,Kwomtari-Nai,-3.50718,141.488,Spencer 2008,102-104,"Spencer, Katharine. 2008. Kwomtari grammar essentials. In et al., Murray Honsberger (ed.), Kwomtari phonology and grammar essentials, 53-183. Ukarumpa, Papua New Guinea: SIL-PNG Academic Publications.","stem alternation, irregular affixetion, partial reduplication",irregular stem alternation,18 verbs,S/P,S/P,---,---,NC
39,56,Abawiri,flh,foau1240,Lakes Plain,-3.04582,139.213,Yoder 2020,285-291,"Yoder, Brendon. 2020. A grammar of Abawiri, a Lakes Plain language of Papua, Indonesia. University of California at Santa Barbara dissertation.",prefix to-,affixation,8 verbs,?,S ,repetitive,standard habitual,>1
39,57,Abawiri,flh,foau1240,Lakes Plain,-3.04582,139.213,Yoder 2020,291-292,"Yoder, Brendon. 2020. A grammar of Abawiri, a Lakes Plain language of Papua, Indonesia. University of California at Santa Barbara dissertation.",prefix sre-,affixation,3 verbs,---,P ,repetitive,---,>1
39,58,Abawiri,flh,foau1240,Lakes Plain,-3.04582,139.213,Yoder 2020,292-293,"Yoder, Brendon. 2020. A grammar of Abawiri, a Lakes Plain language of Papua, Indonesia. University of California at Santa Barbara dissertation.",prefix gwa-,affixation,NC,S,S ,repeated,?,>1
40,,Fayu,fau,fayu1238,Lakes Plain,-3.14497,136.867,Maitland 2020,NA,"Maitland, Page Alana Ogilvie. 2020. A grammatical description of Fayu: a Western Lakes Plain language of West Papua. University of Newcastle MA thesis.",NA,,,,,,,
41,,Iau,tmu,iauu1242,Lakes Plain,-3.14537,137.69,Bateman 2021,NA,"Bateman, Janet. 2021. Grammatical Overview of Iau Revision 3. Ms.",NA,,,,,,,
42,59,Lavukaleve,lvk,lavu1241,Lavukaleve,-9.05569,159.119,Terrill 2003,345-346,"Terrill, Angela. 2003. A Grammar of Lavukaleve. (Mouton Grammar Library, 30.) Berlin, New York: Berlin: Mouton de Gruyter. doi: 10.1515/9783110923964.",suffix -la,affixation,restricted,---,P dispersive,"multidirectional, continuative",---,NC
42,60,Lavukaleve,lvk,lavu1241,Lavukaleve,-9.05569,159.119,Terrill 2003,35-36,"Terrill, Angela. 2003. A Grammar of Lavukaleve. (Mouton Grammar Library, 30.) Berlin, New York: Berlin: Mouton de Gruyter. doi: 10.1515/9783110923964.",partial reduplication,reduplication,NC,---,---,continuative,---,NC
43,61,Amanab,amm,amap1240,Left May,-4.20192,141.658,Årsjö 1999,59,"Årsjö, Britten. 1999. Words in Ama. Uppsala: Uppsala Universitet MA thesis.","stem alternation, reduplication, irregular suffixation",irregular stem alternation,many,S/P,S/P ,---,---,>1 (>2 for some verbs)
44,62,Murik,mtf,muri1260,Lower Sepik ,-3.86959,144.166,Schmidt 1953,551-552,"Schmidt, Joseph. 1953. Vokabular und grammatik der Murik-Sprache in Nordost-Neuguinea. (Micro-Bibliotheca Anthropos, 3.) Posieux: Anthropos Institut. (Microfilm).",stem alternation,irregular stem alternation,NC,S/P,S/P ,repeated,---,>2
45,63,Yimas,yee,yima1243,Lower Sepik ,-4.71731,143.572,Foley 1991,71,"Foley, William A. 1991. The Yimas Language of New Guinea. Stanford: Stanford University Press.","full reduplication, partial reduplication",reduplication,productive,---,---,repeated,---,NC
46,,Kopar,xop,kopa1248,Lower Sepik ,-3.98259,144.466,Foley 2022,NA,"Foley, William A. 2022. A Sketch Grammar of Kopar: A Language of New Guinea. (667.) Canberra: Pacific Linguistic.",NA,,,,,,,
47,,Doromu-Koki,kqc,doro1266,Manubaran,-9.56687,147.986,Bradshaw 2012,NA,"Bradshaw, Robert L. 2012. Doromu-Koki grammar sketch. (Data Papers in Papua New Guinea Languages, 58.) Ukarumpa: SIL-PNG Academic Publications.",NA,,,,,,,
